NAMESPACE                 NAME
apm-collaboration-stage   collaboration-stage-rl-apm-events-svc-rolling
apm-collaboration-stage   collaboration-utility-stage-manage-console-access
apm-collaboration-stage   collaboration-utility-stage-pgadmin
apm-collaboration-stage   collaboration-utility-stage-redis-insight
apm-data-stage            data-stage-apm-apidocs-svc
apm-data-stage            data-stage-apm-timeseries-apidoc-svc
apm-data-stage            data-stage-apm-timeseries-eks-secret-migration-tool
apm-data-stage            data-stage-apm-timeseries-ingestion-svc
apm-data-stage            data-stage-apm-timeseries-query-svc
apm-data-stage            data-stage-apm-timeseries-reactapp
apm-data-stage            data-stage-cache-manage-console-access
apm-data-stage            data-stage-cache-pgadmin
apm-data-stage            data-stage-cache-redis-insight
apm-gateway-stage         gateway-stage-apm-event-alerts-ingestor-svc
apm-gateway-stage         gateway-stage-apm-event-cases-ingestor-svc
apm-geda-stage            apm-geda-stage-utilities-manage-console-access
apm-geda-stage            apm-geda-stage-utilities-pgadmin
apm-geda-stage            apm-geda-stage-utilities-redis-insight
apm-geda-stage            geda-stage-apm-geda-adapter-svc
apm-geda-stage            geda-stage-apm-geda-apidoc-svc
apm-geda-stage            geda-stage-apm-geda-ingestion-ui
apm-geda-stage            geda-stage-apm-geda-odata-svc
apm-geda-stage            geda-stage-apm-geda-svc
apm-geda-stage            geda-stage-apm-geda-ui
apm-geda-stage            test
apm-tagmanagement-stage   tagmanagement-stage-apm-tagmanagement-source-ui
apm-tagmanagement-stage   tagmanagement-stage-apm-tagmanagement-svc
apm-templates-stage       templates-stage-apm-templates-svc
apm-templates-stage       templates-stage-apm-templates-ui
apm-templates-stage       templates-utility-stage-manage-console-access
apm-templates-stage       templates-utility-stage-pgadmin
apm-templates-stage       templates-utility-stage-redis-insight
apm-vizualisation-stage   adviutil-stage-manage-console-access
apm-vizualisation-stage   adviutil-stage-pgadmin
apm-vizualisation-stage   adviutil-stage-redis-insight
apm-vizualisation-stage   visualization-stage-apm-advanced-visualization-svc
apm-vizualisation-stage   visualization-stage-apm-advanced-visualization-ui
apm-vizualisation-stage   visualization-stage-apm-nlq-ai
apm-vizualisation-stage   visualization-stage-apm-odata-alerts-cases-svc
